ID,Contract Number,Program Area,Award Year,Project Title,Organization Name,Project Description,Awarded Amount,Pledged Match Amount,Seattle Electoral District,Neighborhood District
147,B8908,Large Projects Fund,1989,Yesler Terrace Safety Lighting,Yesler Terrace Community Council,"In response to community concerns, high pressure sodium lights were installed at Yesler Terrace Garden Community.  These lights increased the visibility  during the evening hours and also acted  as a deterrent to drug related criminal activities.  This project is related to NMF projects B8948 and B8957 at Rainier Vista and High Point  Garden communities.",2340,19550,,East
143,B8904,Large Projects Fund,1989,Pike/Union Neighborhood Planning Study,Capitol Hill Chamber of Commerce,"Analyze 1988 data of existing neighborhood conditions, analyze housing and economic development potential of the neighborhood and recommend ""Action Plan"" for the neighborhood to implement.",56192,29935,,East
145,B8906,Large Projects Fund,1989,22nd Avenue E Street Trees,Blue Wave Construction,Planted 20 street trees.,350,350,,East
144,B8905,Large Projects Fund,1989,Volunteer Park Play Yard,Capitol Hill Community Council,Completed extensive improvements and new equipment for the children's play area in Volunteer Park.,68874,81000,,East
173,B8934,Large Projects Fund,1989,Litter Clean-up On The Ave.,Greater University Chamber of  Commerce,Installed 28 new garbage cans.,9583,9583,,Northeast
204,B8965,Large Projects Fund,1989,Welcome to Delridge Sign,Delridge Community Association,"Installed a brick and wood ""Welcome to Delridge"" sign.",1507,1555,,Delridge
141,B8915,Large Projects Fund,1989,Adam's School Terra Cotta,Adams Elementary School PTSA,,7800,7800,,Ballard
148,B8909,Large Projects Fund,1989,Stevens School Play structure,Issac I. Stevens PTSA,Installed a large playground structure.,12500,24100,,East
168,B8929,Large Projects Fund,1989,Pinehurst Arts and Crafts for Kids,Pinehurst Hts Com Cncl,"Provided classes and instruction for Pinehurst area children in gardening, arts and crafts projects.",2500,3303,,North
169,B8930,Large Projects Fund,1989,NE 41st Boulevard,The Johnson Associates,Landscaped the center boulevard area and planting strips.,20205,22130,,Northeast
156,B8917,Large Projects Fund,1989,International District Community Planning,Inter*lm Community Development Association,"Completed a phase of a plan; identified recent development trends and community needs; made recommendations on community development goals and objectives.  Title of plan ""Chinatown/International District Community Development Plan 1992"".",32100,22465,,Downtown
170,B8931,Large Projects Fund,1989,Children's Play Structure Replacement,The Johnson Associates,"Graded and prepared play area site,  installed play structure, picnic tables, park benches and trash receptacles.",59519,59519,,Northeast
171,B8932,Large Projects Fund,1989,Dahl Playfield Improvement,Wedgwood Community Council,"Provided a new pathways, picnic tables, and trees.",16000,16600,,Northeast
172,B8933,Large Projects Fund,1989,University Playfield Improvement,Department of Parks and Recreation,Improved University Playfield adding park benches and landscaping.,2500,800,,Northeast
167,B8928,Large Projects Fund,1989,Hamlin Street-End Park,Eastlake Community Council,"Built a small waterfront park at the Hamlin Street-end on Lake Union, including new: picnic tables, benches, garbage cans, landscaping materials, boat launch etc.",10428,10580,,Lake Union
166,B8927,Large Projects Fund,1989,Cascade Park Beautification,Department of Parks and Recreation,"Installed new  pathways, three benches and additional landscaping.",3155,2508,,Lake Union
165,B8926,Large Projects Fund,1989,Improvements to Ross Park,Department of Parks and Recreation,"Completed final phase of extensive park improvements adding: four benches, 2 picnic tables, and basketball court.",4600,4600,,Lake Union
163,B8924,Large Projects Fund,1989,Sculpture at Bridge Park,Fremont Arts Council,Commissioned and installed a sculpture (the now renowned troll) in Bridge Park.,22400,27325,,Lake Union
162,B8923,Large Projects Fund,1989,El Centro de la Raza Plaza,El Centro de la Raza,,8190,8520,,Greater Duwamish
161,B8922,Large Projects Fund,1989,El Centro Outdoor Sports Court,El Centro de la Raza,Constructed a sports court for youth and families.,14700,44148,,Greater Duwamish
222,B9014,Large Projects Fund,1990,International District. Community Organizing,International District Housing Alliance,"To organize International District residents and establish tenant's council at 10 additional sites (housing projects, apartments & residential hotels). Goal is to empower residents in the ID, to provide resident input to improve building conditions, and to provide resident input into revitalization effort in the ID.",31250,26550,,Downtown
221,B9013,Large Projects Fund,1990,"First Avenue Marketing, Promotional and Maintenance Plan",The Gilmore Research Grp,"An action plan was created implement a Parking and Business Improvement Area (PBIA).  The study included an inventory of types of services, PBIA boundaries, payment formulas, and benefit zones.",5350,7100,,Downtown
220,B9012,Large Projects Fund,1990,Business Computer Training,Pioneer Square Community Council,Purchase and install computer equipment and software and provide computer training to street youths. Service provided at the Orion Multi- Service Center.,5796,9444,,Downtown
217,B9009,Large Projects Fund,1990,Madrona Shelter House Improvements,Madrona Community Council,"Rehabilitate Madrona Shelter House to be a community meeting space: painting, floor repairs and new heating.",10810,10810,,Central
215,B9007,Large Projects Fund,1990,Madrona School Playground Rehabilitation,Madrona Elementary PTSA,Installed new playground equipment and exterior mural.,5987,14460,,Central
214,B9006,Large Projects Fund,1990,Martin Luther King Beautification,Harrison/Denny Community Council,Landscaping to plant about 115 plants around MLKing School grounds and install three safety lights for the playground.,4939,5029,,Central
231,B9023,Large Projects Fund,1990,Canal Granite Seating & Carving Symposia,Fremont Arts Council,"Stone seating will be installed along the Fremont Canal, created through a symposium on traditional stone carving techniques for community members, and taught by professional stone sculptors.   ",17265,19500,,Lake Union
212,B9004,Large Projects Fund,1990,Miller Park Dreams Coordinator,Miller Park Neighborhood Association,Community study and design proposal of Miller Park and Community Center.,10000,10000,,East
218,B9010,Large Projects Fund,1990,Homeless Outreach Van,Community Psychiatric Clinic,To purchase a van which will be used by Community Psychiatric Clinic's street outreach team to assist homeless and mentally ill adults in securing needed social services.   ,13000,13000,,Downtown
233,B9025,Large Projects Fund,1990,Wallingford Community Resource Inventory & Needs,The Blue Parrot,"Survey Wallingford district and compile a resource directory to include all businesses, in-home businesses, social services and community. services.",6964,9486,,Lake Union
239,B9031,Large Projects Fund,1990,Children's Play Structure Project,Montlake Advisory Council,Constructed two play circles and installed new playground equipment adjacent to Montlake Community Center.,22108,33161,,Northeast
1329,S90015,Small and Simple Projects Fund,1990,Rainier Indoor Playground,Rainier Community Center Advisory Council,"Purchase and assembly of play equipment, furniture and storage items for the playground.  Park Dept. will staff the playground.  Indoor Playground will be supervised play not child care.  Initially, primary users will be 5 and under whose parents visiting SE Health Clinic. General public will also use the playground. ",3246,3300,,Southeast
211,B9003,Large Projects Fund,1990,McGilvra Community Hall,McGilvra Elementary PTSA,"To provide an audio/visual system, additional seating and exterior lighting for McGilvra School.",6370,6430,,East
236,B9028,Large Projects Fund,1990,Belvedere Terrace Beautification Phase II,Belvedere Terrace Community Council,To plant approximately 15 trees and ground cover at the neighborhood's main entrance way and adjoining parking strip.  Design and install new neighborhood welcome signs.   ,4083,4517,,Northeast
229,B9021,Large Projects Fund,1990,Eastlake Community School/Center,Eastlake Community Council,To start up a new community school at the Seward School in Eastlake to hold after-school and evening classes of interest to neighborhood residents and the TOPS school community.   ,24000,24000,,Lake Union
234,B9026,Large Projects Fund,1990,Playground Equipment Olympic Hills Elementary,Olympic View Elementary PTSA,Demolished old playground equipment and installed new equipment..,7484,7881,,North
225,B9017,Large Projects Fund,1990,Chong Wa Playground Expansion/Improvement,Chong Wa Educational Society,"Expanded playground into unused NE corner of the outdoor area; improved existing play area; added sports equipment and playing lines; added a mural to the play wall, planted shrubs and trees in the NE corner.",22275,23664,,Downtown
232,B9024,Large Projects Fund,1990,Good Shepherd Center Elevator,Wallingford Community Council,"Install a  handicapped-accessible, automatic elevator.",48000,141336,,Lake Union
230,B9022,Large Projects Fund,1990,North 40th Project,North 40th Project,Constructed two traffic circles on North 40th at Midvale and Woodlawn Park.,7500,7500,,Lake Union
238,B9030,Large Projects Fund,1990,Space Acquisition Before/After School,Laurelhurst Afterscholl Enr,"Provided space for before and after school care, pull out programs during school, and community meetings in the evening; purchased and installed a 1500 sq.ft. building to be located on the Laurelhurst Elementary campus.",25500,26750,,Northeast
226,B9018,Large Projects Fund,1990,International District. Community Gardens Improvement,Interim Community Development Association,"Improved access, security and safety for gardeners and visitors through installation of security lighting, repair of retaining walls, pathways, hand railings and entry way.",40466,40998,,Downtown
235,B9027,Large Projects Fund,1990,Maple Leaf Playground,Maple Leaf Community Council,Installed new playground equipment and upgraded existing equipment.,18995,18995,,North
1328,S90014,Small and Simple Projects Fund,1990,Jackson Park Afterschool Program,Jackson Park Villagers,To purchase furniture and office supplies for the After School Program at Jackson Park.    ,3400,3537,,North
246,B9038,Large Projects Fund,1990,Transportation Service for Youth,Phinney Neighborhood Association,To purchase a van to provide early morning and after school transportation for neighborhood children to and from the Phinney Neighborhood Association Youth Enrichment Programs.  These programs serve six neighborhood schools.,11390,17103,,Northwest
240,B9032,Large Projects Fund,1990,Montlake Play Scape,Montlake Community Club,Installed of new playground equipment at Montlake Elementary School.,19106,26809,,Northeast
1368,S90055,Small and Simple Projects Fund,1990,Gilman Park Playground Improvement,Department of Parks and Recreation,Playground facilities at the Gilman neighborhood park will be enhanced through the installation of new equipment and the refurbishing of the existing swingset.,2622,2622,,Ballard
1347,S90033,Small and Simple Projects Fund,1990,Traffic Circle S. Ferdinand & 44th S,Columbia City Neighborhood Association,"To build and construct a traffic circle at S. Ferdinand & 44th S. Seattle Engineering Dept. will donate design costs, SEED will construct the circle.  Community volunteers will plant and maintain the landscaping of the circle.",1965,1890,,Southeast
1340,S90026,Small and Simple Projects Fund,1990,Alki Community Traffic/Parking Remedial,Alki Community Council,Provided a forum for residents to reach consensus on traffic remediation alternatives developed in 1989 Traffic Remediation project.,3200,8200,,Southwest
1339,S90025,Small and Simple Projects Fund,1990,Wildlife Sanctuary,Green Lake Elementary PTSA,"Landscaping project to plant a variety of native trees, shrubs and grasses to attract birds in a 6000 sq.ft. area adjacent to the school. Neighborhood Matching Funds will purchase plants, trees, and landscaping materials.   ",3600,5948,,Northwest
1338,S90024,Small and Simple Projects Fund,1990,Membership Outreach Project,Denny Regrade Community Council,"Design, printing, and distribution of a membership outreach brochure to increase the membership of Denny Regrade Community Council by in- involving more of the diverse populations in the neighborhood.   ",1974,1050,,Downtown
1337,S90023,Small and Simple Projects Fund,1990,Trees On 73rd,Seattle Department of Transportation,Thirty street trees will be planted along 16th NW between NW 73rd and NW 75th.,1650,2250,,Ballard
1336,S90022,Small and Simple Projects Fund,1990,Laurelhurst Scoreboard Replacement,Laurelhurst Community Center Advisory Council,Installed a replacement basketball scoreboard in the Laurelhurst Elementary. School.,2561,2561,,Northeast
1335,S90021,Small and Simple Projects Fund,1990,Police Bikes for Denny Regrade II,Denny Regrade Crime Prevention Council,Purchased and outfitted two mountain bikes for the Seattle Police Dept. West Precinct to augment the bike patrol.,1494,1500,,Downtown
1333,S90019,Small and Simple Projects Fund,1990,Wing Luke School Beautification,Wing Luke Beautification Committee,"Landscaping/beautification of 26 trees planted, a variety of shrubs at Wing Luke School.    ",1247,2527,,Greater Duwamish
1332,S90018,Small and Simple Projects Fund,1990,Traffic Circle 62nd & 29th NE,NE 62nd & 29th Ave NE Neighborhood Group,A traffic circle will be designed and installed at NE 62nd and 29th NE to slow traffic.,2595,2560,,Northeast
1327,S90013,Small and Simple Projects Fund,1990,After School Performing Arts,Ewajo Dance Workshop,"To provide after school performing arts project in a safe/creative environment at MLKing Elementary under the direction of the Ewajo Dance Workshop.  Project will be free and performance-oriented for 40 students ages 7-12, Monday-Friday 3-5 pm.  ",3000,3000,,East
1330,S90016,Small and Simple Projects Fund,1990,Traffic Circle 8th NE & NE 59th,Roosevelt Neighbors' Alliance,A traffic circle will be designed and installed at the intersection of 8th NE & NE 59th to slow traffic.  Nearby residents will install and maintain the traffic circle landscaping.,3200,3230,,Northeast
210,B9002,Large Projects Fund,1990,Isaac Stevens School Exterior Painting,Sea Schools - Facilities,"Repainted the exterior of the landmark, wooden clapboard school.",34946,62800,,East
1326,S90012,Small and Simple Projects Fund,1990,Greenwood Needs Assessment,Greenwood Community Council,"Surveyed Greenwood residents on:  physical character & density of the neighborhood; size, scale & design of new developments; landmarks & natural features traffic/transportation options; commercial signs; & parking options. The findings are compiled in a report.",1588,2620,,Northwest
1361,S90048,Small and Simple Projects Fund,1991,Women's Business Owners Plang/AssessmtMg,Rainier Chamber Association,"Developed a database which surveys the timely issues, grievances, concerns and aspirations of business women in SE and Central Seattle.",3035,1880,,Southeast
1325,S90011,Small and Simple Projects Fund,1990,Neighborhood Welcome Signs,Seattle Department of Transportation,"Design & install 6 neighborhood signs ""Welcome to Licton Springs."" Engineering Dept. will design & install signs. N 103rd & Aurora N; N 105th St & Densmore Ave N; NE 92nd & 1st NE; N 90th Aurora; N 100th & Aurora; N Northgate Way & College Way N.  ",450,450,,Northwest
1324,S90010,Small and Simple Projects Fund,1990,Greenlake Play Center Improvement,Shuko Hashimoto Design,"The Greenlake Recreation Center Indoor Play Center, designed for children 5 years and younger, will be improved with the purchase of a climbing structure and the installation of a wall mural in the cafe area adjacent to the play area.",1491,1585,,Northwest
1323,S90009,Small and Simple Projects Fund,1990,The Greening of Columbia City,Columbia City Neighborhood Association,Tree planting project to plant a grove of 20 bird habitat trees in Genesee Park; labor will be provided by neighborhood organization volunteers; NMFunds used to purchase trees and planting materials.   ,2890,3510,,Southeast
1322,S90008,Small and Simple Projects Fund,1990,Stage for Holiday Tree Lighting,Phinney Neighborhood Association,Construct portable staging for Phinney annual community tree lighting ceremony.  Constructed of metal with vinyl covering.  Staging will be used for 5 - 6 events throughout the year.   ,1750,1640,,Northwest
1321,S90007,Small and Simple Projects Fund,1990,South Shore Mural,South East Effective Development,Students from South Shore Middle School and Rainier Beach High School will work in collaboration to create a mural that will be installed on a wall at South Shore that is regularly painted with graffiti.,2234,2311,,Southeast
1320,S90006,Small and Simple Projects Fund,1990,2nd W & W Smith Traffic Circle,2nd Ave W & W Smith Neighborhood Association,"A ""half"" traffic circle will be designed and installed at 2nd W and W Smith to slow traffic.",2304,2996,,Magnolia/QA
